Round,Accuracy
1,10.31
2,10.10
3,7.45
4,11.79
5,12.55
6,12.18
7,12.76
8,13.61
9,11.88
10,12.74
11,9.80
12,12.44
13,13.64
14,12.48
15,12.14
16,19.91
17,17.73
18,20.20
19,22.11
20,23.12
21,23.45
22,19.90
23,22.38
24,24.23
25,22.59
26,23.62
27,22.14
28,22.75
29,18.07
30,18.87
31,23.08
32,22.88
33,20.04
34,17.60
35,21.27
36,23.90
37,24.94
38,24.10
39,21.97
40,22.93
41,22.41
42,20.77
43,21.00
44,21.16
45,23.28
46,24.89
47,27.43
48,26.78
49,24.55
50,25.07
51,24.82
52,26.08
53,24.98
54,24.62
55,27.18
56,28.25
57,28.45
58,28.08
59,28.60
60,26.02
61,26.86
62,22.50
63,21.72
64,21.73
65,22.32
66,22.92
67,23.41
68,25.51
69,25.63
70,24.97
71,25.80
72,27.75
73,27.16
74,26.12
75,27.94
76,27.20
77,25.91
78,25.87
79,27.55
80,24.84
81,25.21
82,25.10
83,24.70
84,24.03
85,24.66
86,25.08
87,24.80
88,25.05
89,25.96
90,26.10
91,24.78
92,24.68
93,24.60
94,26.44
95,29.22
96,30.34
97,31.04
98,31.31
99,31.78
100,31.59
