Round,Accuracy
1,12.64
2,10.91
3,14.16
4,16.18
5,11.81
6,19.69
7,15.76
8,13.63
9,16.93
10,20.44
11,19.84
12,15.71
13,16.78
14,19.48
15,19.86
16,17.79
17,16.82
18,17.21
19,14.03
20,12.94
21,12.75
22,14.3
23,16.22
24,20.48
25,17.92
26,16.16
27,17.84
28,19.25
29,20.1
30,17.82
31,20.52
32,21.12
33,17.97
34,16.79
35,14.79
36,16.89
37,14.57
38,15.55
39,14.72
40,17.7
41,16.46
42,19.53
43,22.75
44,20.41
45,19.84
46,21.75
47,21.67
48,23.24
49,21.64
50,20.74
51,21.35
52,21.16
53,20.14
54,18.68
55,19.39
56,19.97
57,19.6
58,19.5
59,20.73
60,19.63
61,21.3
62,20.71
63,22.23
64,23.73
65,25.39
66,23.23
67,23.83
68,25.18
69,25.39
70,26.8
71,24.7
72,23.96
73,25.3
74,25.18
75,24.53
76,25.72
77,26.39
78,27.07
79,27.38
80,28.9
81,27.3
82,27.65
83,27.65
84,26.85
85,24.54
86,24.24
87,23.77
88,25.31
89,26.29
90,25.7
91,26.03
92,28.21
93,27.3
94,27.09
95,26.87
96,26.49
97,27.14
98,25.6
99,24.59
100,23.89
